ack 3.3.1-1
bspwm 0.9.9-1
cmake 3.17.3-1
curl 7.70.0-1
dkms 2.8.1-3
dmenu 4.9-1.1
fzf 0.21.1-2
git 2.27.0-1
gvim 8.2.0914-0
nitrogen 1.6.1-3
picom 8-2
polybar 3.4.3-1
python 3.8.3-1
python-ueberzug 18.1.5-3
ranger 1.9.3.4.gd8c363c9-1
ripgrep 12.1.1-1
rofi 1.5.4-1
slock 1.4-3
sxhkd 0.6.1-1
the_silver_searcher 2.2.0-1
tmux 3.1_b-1
ttf-font-awesome 5.13.0-1
unclutter 1
xclip 0.13-3
xorg-setxkbmap 1.3.2-2
xorg-xsetroot 1.1.2-2
xsel 1.2.0.20190821-1
zsh 5.8-1
